ticker,name,exchange,description
AA,Alcoa Corporation,NYSE,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Iceland, Norway, Brazil, Canada, and internationally.The company operates through two segments, Alumina and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting and casting businesses.The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum in the form of sheet, which is sold primarily to customers that produce beverage and food cans.In addition, it owns hydro power plants that generates and sells electricity in the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies.The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016.The company was founded in 1886 and is headquartered in Pittsburgh, Pennsylvania."
AACG,ATA Creativity Global,NASDAQ,"ATA Creativity Global, together with its subsidiaries, provides educational services to individual students through its training center network in China and internationally.Its educational services include portfolio training, research-based learning, overseas study counselling, in-school art classes through cooperation with high schools and training organizations, foreign language training services, junior art education, and other related educational services to its students.The company also offers online courses for students. It provides its services through partnership with sales channels, internet and mobile advertisement, word of mouth referral, and marketing events and activities.The company was formerly known as ATA Inc. and changed its name to ATA Creativity Global in September 2019.ATA Creativity Global was founded in 1999 and is headquartered in Hefei, China."
AACT,Ares Acquisition Corporation II,NYSE,"Ares Acquisition Corporation II does not have significant operations.It focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses.Ares Acquisition Corporation II was incorporated in 2021 and is based in New York, New York."
AAL,American Airlines Group Inc.,NASDAQ,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier.The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo.It operates a mainline fleet of 965 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013.American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas."
AAME,Atlantic American Corporation,NASDAQ,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States.It operates through American Southern and Bankers Fidelity segments. The company offers property and casualty insurance products, including commercial automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; general liability; and inland marine insurance products.It also provides surety bond coverage for subdivision construction; school bus contracts; and performance and payment bonds.In addition, the company offers individual and group whole life insurance products; Medicare supplement insurance products; and other accident and health insurance products comprising various individual and group policies for the payment of standard benefits for the treatment of diagnosed cancer and other critical illnesses, as well as various other products, such as short-term nursing facility care, accident only, hospital indemnity, and disability coverages.It markets its products through independent agents and brokers. The company was founded in 1937 and is based in Atlanta, Georgia.Atlantic American Corporation is a subsidiary of Atlantic American / Delta Group."
AAPL,Apple Inc.,NASDAQ,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide.The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod.It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts.In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property.The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets.It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers.Apple Inc. was founded in 1976 and is headquartered in Cupertino, California."
ABAT,American Battery Technology Company,NASDAQ,"American Battery Technology Company operates as a battery materials company in the United States.The company explores for resources of battery metals, such as lithium, nickel, cobalt, and manganese; and develops and commercializes technologies for the extraction and refining of battery metals.It also commercializes an integrated process for the recycling of lithium-ion batteries. The company was formerly known as American Battery Metals Corporation and changed its name to American Battery Technology Company in August 2021.American Battery Technology Company was incorporated in 2011 and is headquartered in Reno, Nevada."
ABBV,AbbVie Inc.,NYSE,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals worldwide.The company offers Humira, an injection for autoimmune and intestinal BehÃ§et's diseases, and pyoderma gangrenosum; Skyrizi to treat moderate to severe plaque psoriasis, psoriatic disease, and Crohnâs disease; Rinvoq to treat rheumatoid and psoriatic arthritis, ankylosing spondylitis, atopic dermatitis, axial spondyloarthropathy, ulcerative colitis, and Crohn's disease; Imbruvica for the treatment of adult patients with blood cancers; Epkinly to treat lymphoma; Elahere to treat cancer; and Venclexta/Venclyxto to treat blood cancers.It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; botox therapeutic; Vraylar for depressive disorder; Duopa and Duodopa to treat advanced Parkinson's disease; Ubrelvy for the acute treatment of migraine in adults; and Qulipta for episodic and chronic migraine.In addition, the company offers Ozurdex for eye diseases; Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; Restasis to increase tear production; and other eye care products.Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus genotype 1-6 infection; Creon, a pancreatic enzyme therapy; Lupron to treat advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; and Synthroid for hypothyroidism.It has collaborations with Calico Life Sciences LLC; REGENXBIO Inc.; Janssen Biotech, Inc.; and Genentech, Inc., as well as collaboration with Tentarix Biotherapeutics, LP to develop conditionally-active and multi-specific biologics for oncology and immunology.The company was incorporated in 2012 and is headquartered in North Chicago, Illinois."
ABCB,Ameris Bancorp,NYSE,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides range of banking services to retail and commercial customers.It operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division.The company offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts.It also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and personal credit lines.In addition, the company originates, administers, and services commercial insurance premium loans, equipment finance loans, and small business administration loans.It operates full service domestic banking offices, and mortgage and loan production offices. The company was founded in 1971 and is headquartered in Atlanta, Georgia."
ABCL,AbCellera Biologics Inc.,NASDAQ,"AbCellera Biologics Inc. builds an engine for antibody drug discovery and development.Its engine discovers antibodies from natural immune responses, which are pre-enriched for antibodies.The companyâs preclinical products are ABCL635 for metabolic and endocrine conditions; and ABCL575 for atopic dermatitis.It has a research collaboration and license agreement with Eli Lilly and Company; a research collaboration with Confo Therapeutics for the discovery of therapeutic antibody candidates targeting two undisclosed GPCR targets; and strategic collaboration with Biogen Inc. to discover therapeutic antibodies for neurological conditions, as well as collaboration with Viking Global Investors and ArrowMark Partners.The company was incorporated in 2012 and is headquartered in Vancouver, Canada."
ABEO,Abeona Therapeutics Inc.,NASDAQ,"Abeona Therapeutics Inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for life-threatening diseases.Its lead clinical program is EB-101, an autologous, engineered cell therapy that is in Phase III clinical trial for recessive dystrophic epidermolysis bullosa.The company develops ABO-503 for the treatment of X-linked retinoschisis; ABO-504 for the treatment of stargardt disease; and ABO-505 for the treatment of autosomal dominant optic atrophy.In addition, it is developing AAV-based gene therapy through its AIM vector platform programs. The company was formerly known as PlasmaTech Biopharmaceuticals, Inc. and changed its name to Abeona Therapeutics Inc. in June 2015.Abeona Therapeutics Inc. is headquartered in Cleveland, Ohio."
ABEV,Ambev S.A.,NYSE,"Ambev S.A., through its subsidiaries, engages in the production, distribution, and sale of beer, draft beer, carbonated soft drinks, malt and food, other alcoholic beverages, and non-alcoholic and non-carbonated products in Brazil, Central America and Caribbean, Latin America South, and Canada.It offers beer primarily under the Skol, Brahma, Antarctica, Brahva, Budweiser, Bud Light, Beck, Leffe, Hoegaarden, Balboa ICE, Balboa, Atlas Golden Light, Atlas, Bucanero, Cristal, Mayabe, Presidente, Presidente Light, Brahma Light, Bohemia, The One, Corona, Modelo Especial, Stella Artois, Quilmes ClÃ¡sica, PaceÃ±a, TaquiÃ±a, Huari, Becker, CusqueÃ±a, Michelob Ultra, Busch, Pilsen, Ouro Fino, Bud 66, Banks, Deputy, Patricia, Labatt Blue, Alexander Keithâs, and Kokanee brands.The company also provides carbonated soft drinks, bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the GuaranÃ¡ Antarctica, Gatorade, H2OH!, Pepsi Black, Lipton Iced Tea, Fusion, Pepsi-Cola, Canada Dry, Squirt, Red Rock, Red Bull, Seven Up, Nutrl, Bud Light Seltzer, Palm Bay, and Mikeâs brands.It offers its products through a network of third-party distributors and a direct distribution system.The company was founded in 1885 and is headquartered in SÃ£o Paulo, Brazil. Ambev S.A. is a subsidiary of Interbrew International B.V."
ABLV,Able View Global Inc.,NASDAQ,"Able View Global Inc. operates as brand management partners of beauty and personal care brands in China.Its brand management services encompass various segments of the brand management value chain, including strategy, branding, digital and social marketing, omni-channel sales, customer services, overseas logistics, and warehouse and fulfilment.The company was incorporated in 2021 and is based in Shanghai, China."
ABM,ABM Industries Incorporated,NYSE,"ABM Industries Incorporated, through its subsidiaries, engages in the provision of integrated facility, infrastructure, and mobility solutions in the United States and internationally.It operates through Business & Industry, Manufacturing & Distribution, Education, Aviation, and Technical Solutions segments.The company offers janitorial, facilities engineering, and parking services for commercial real estate properties, including corporate offices for high tech clients, sports and entertainment venues, and traditional hospitals and non-acute healthcare facilities; provides vehicle maintenance and other services to rental car providers.It also offers integrated facility services, engineering, and other specialized services in various types of manufacturing, distribution, and data center facilities.In addition, the company delivers custodial and landscaping and grounds for public school districts, private schools, colleges, and universities.Further, it supports airlines and airports with services comprising passenger assistance, catering logistics, air cabin maintenance, and transportation services.Additionally, the company provides electric vehicle power design, installation, and maintenance, as well as microgrid systems installations.ABM Industries Incorporated was founded in 1909 and is headquartered in New York, New York."
ABR,Arbor Realty Trust,NYSE,"Arbor Realty Trust, Inc. invests in a diversified portfolio of structured finance assets in the multifamily, single-family rental, and commercial real estate markets in the United States.The company operates through Structured Business and Agency Business segments. It primarily invests in bridge and mezzanine loans, including junior participating interests in first mortgages, and preferred and direct equity, as well as real estate-related joint ventures, real estate-related notes, and various mortgage-related securities.In addition, the company offers bridge financing products to borrowers who seek short-term capital to be used in an acquisition of property; financing by making preferred equity investments in entities that directly or indirectly own real property; mezzanine financing in the form of loans that are subordinate to a conventional first mortgage loan and senior to the borrower's equity in a transaction; junior participation financing in the form of a junior participating interest in the senior debt; and financing products to borrowers who are looking to acquire conventional, workforce, and affordable single-family housing.Further, it underwrites, originates, sells, and services multifamily mortgage loans through conduit/commercial mortgage-backed securities programs.The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders.Arbor Realty Trust, Inc. was incorporated in 2003 and is headquartered in Uniondale, New York."
ABSI,Absci Corporation,NASDAQ,"Absci Corporation operates as a data-first generative artificial intelligence (AI) drug creation company in the United States.The company combines AI with scalable wet lab technologies to create biologics for patients. Its integrated drug creation platform is designed to improve upon traditional biologic drug discovery by using AI to simultaneously optimize multiple drug characteristics that may be important to development and therapeutic benefit.It has a collaboration with Memorial Sloan Kettering Cancer Center to discover novel therapeutics using generative AI; and with AstraZeneca PLC for AI-driven drug discovery against an oncology target.The company was founded in 2011 and is headquartered in Vancouver, Washington."
ABT,Abbott Laboratories,NYSE,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide.It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices.The company provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon.It also offers laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for laboratories.In addition, the company provides pediatric and adult nutritional products; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices for the management of chronic pain and movement disorders.Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois."
ABTS,Abits Group Inc,NASDAQ,"Abits Group Inc. operates in the bitcoin mining business in the United States.The company was formerly known as Moxian (BVI) Inc and changed its name to Abits Group Inc. in November 2023.Abits Group Inc. was incorporated in 2021 and is based in Causeway Bay, Hong Kong."
ABUS,Arbutus Biopharma Corporation,NASDAQ,"Arbutus Biopharma Corporation, a biopharmaceutical company, develops novel therapeutics for chronic Hepatitis B virus (HBV) infection in the United States.Its HBV product pipeline consists of imdusiran (AB-729), a proprietary subcutaneously-delivered RNAi therapeutic product candidate that suppresses all HBV antigens, including HBsAg expression.The companyâs research and development programs include AB-101, an oral PD-L1 inhibitor to reawaken patientsâ HBV-specific immune system; and small molecule antiviral medicines to treat coronaviruses, including COVID-19.It has licensing agreements with Gritstone Oncology, Inc; Alnylam Pharmaceuticals, Inc.; Qilu Pharmaceuticals Co, Ltd; Assembly Biosciences, Inc.; Acuitas Therapeutics, Inc.; and Antios Therapeutics, Inc. Arbutus Biopharma Corporation also has a clinical collaboration agreement with Barinthus Biotherapeutics plc to evaluate VTP-300.The company was formerly known as Tekmira Pharmaceuticals Corporation and changed its name to Arbutus Biopharma Corporation in July 2015.Arbutus Biopharma Corporation is headquartered in Warminster, Pennsylvania."
